Frame 288: blue, (469.307861328125, 190.22677612304688), (541.9293212890625, 260.0989074707031)
Frame 288: red, (788.1987915039062, 201.04251098632812), (839.5173950195312, 294.9389343261719)
Frame 288: blue, (348.35516357421875, 264.0897216796875), (435.82025146484375, 349.897216796875)
Frame 291: red, (802.287109375, 558.8442993164062), (922.0152587890625, 720.0)
Frame 291: blue, (238.6751708984375, 621.6085205078125), (363.60845947265625, 720.0)
Frame 291: red, (1112.0689697265625, 610.34765625), (1234.4991455078125, 720.0)
Frame 291: red, (672.0803833007812, 238.98507690429688), (767.9710083007812, 317.0337829589844)
Frame 291: blue, (463.981201171875, 190.41583251953125), (537.349365234375, 259.5495300292969)
Frame 291: blue, (364.37139892578125, 213.825927734375), (439.74591064453125, 300.534423828125)
Frame 291: red, (795.0615234375, 199.26766967773438), (847.869384765625, 293.7091979980469)
Frame 291: blue, (430.74969482421875, 265.1309814453125), (514.886962890625, 351.78289794921875)
Frame 294: red, (799.46484375, 555.4405517578125), (923.964111328125, 720.0)
Frame 294: red, (1106.575439453125, 606.3565673828125), (1225.3623046875, 720.0)
Frame 294: blue, (244.91180419921875, 624.6158447265625), (366.04376220703125, 720.0)
Frame 294: red, (672.49609375, 238.135009765625), (769.0203857421875, 316.64013671875)
Frame 294: blue, (463.60455322265625, 191.04959106445312), (536.923583984375, 259.84368896484375)
Frame 294: blue, (365.0322265625, 213.40115356445312), (443.4820556640625, 300.5323181152344)
Frame 294: blue, (427.46124267578125, 268.7082214355469), (513.6983032226562, 351.3690490722656)
Frame 294: red, (812.1312255859375, 176.80862426757812), (863.9202880859375, 294.1012878417969)
Frame 297: red, (803.4561767578125, 555.537353515625), (923.159423828125, 720.0)
Frame 297: red, (1102.02587890625, 604.0396728515625), (1222.66552734375, 720.0)
Frame 297: blue, (248.37193298339844, 625.1171875), (368.83251953125, 720.0)
Frame 297: red, (672.86328125, 238.8609619140625), (769.3040771484375, 316.1878662109375)
Frame 297: blue, (421.87841796875, 267.75469970703125), (514.2562255859375, 352.29522705078125)
Frame 297: blue, (465.6214599609375, 191.3280029296875), (536.8330078125, 259.32916259765625)
Frame 297: blue, (365.33135986328125, 214.67784118652344), (445.23187255859375, 301.6142578125)
Frame 297: red, (818.029052734375, 168.81314086914062), (871.669677734375, 294.7396240234375)
Frame 300: red, (1098.724609375, 603.914794921875), (1221.21630859375, 720.0)
Frame 300: red, (805.1349487304688, 553.388427734375), (929.5540161132812, 720.0)
Frame 300: blue, (249.06036376953125, 623.7606201171875), (370.33538818359375, 720.0)
Frame 300: red, (672.8074951171875, 239.74310302734375), (768.8907470703125, 316.07012939453125)
Frame 300: blue, (365.0743408203125, 214.02642822265625), (442.9774169921875, 301.43414306640625)
Frame 300: blue, (466.3680419921875, 191.57162475585938), (536.8763427734375, 259.0268249511719)
Frame 300: blue, (418.94622802734375, 270.5925598144531), (509.83880615234375, 351.2021179199219)
